Species,Population,Temperature,mpa,Dish,Hour,Germinated,Germinable
AETR,029AT,20,0,A,13.71666667,3,24
AETR,029AT,20,0,A,18.28333333,2,24
AETR,029AT,20,0,A,21.36666667,0,24
AETR,029AT,20,0,A,28.38333333,1,24
AETR,029AT,20,0,A,33.48333333,5,24
AETR,029AT,20,0,A,37.25,0,24
AETR,029AT,20,0,A,40.55,0,24
AETR,029AT,20,0,A,46.88333333,0,24
AETR,029AT,20,0,A,51.73333333,1,24
AETR,029AT,20,0,A,57.38333333,0,24
AETR,029AT,20,0,A,62.48333333,1,24
AETR,029AT,20,0,B,6.966666667,14,24
AETR,029AT,20,0,B,13.71666667,5,24
AETR,029AT,20,0,B,18.28333333,0,24
AETR,029AT,20,0,B,21.36666667,1,24
AETR,029AT,20,0,B,28.38333333,1,24
AETR,029AT,20,0,B,33.48333333,2,24
AETR,029AT,20,0,B,37.25,1,24
AETR,029AT,20,0,C,6.966666667,13,24
AETR,029AT,20,0,C,13.71666667,4,24
AETR,029AT,20,0,C,18.28333333,0,24
AETR,029AT,20,0,C,21.36666667,0,24
AETR,029AT,20,0,C,28.38333333,3,24
AETR,029AT,20,0,C,33.48333333,4,24
AETR,029AT,20,0,D,6.966666667,13,23
AETR,029AT,20,0,D,13.71666667,6,23
AETR,029AT,20,0,D,18.28333333,0,23
AETR,029AT,20,0,D,21.36666667,0,23
AETR,029AT,20,0,D,28.38333333,0,23
AETR,029AT,20,0,D,33.48333333,2,23
AETR,029AT,20,0,D,37.25,1,23
AETR,029AT,20,0,D,40.55,0,23
AETR,029AT,20,0,D,46.88333333,0,23
AETR,029AT,20,0,D,51.73333333,0,23
AETR,029AT,20,0,D,57.38333333,0,23
AETR,029AT,20,0,D,62.48333333,1,23
AETR,029AT,20,-1.6,A,6.966666667,0,25
AETR,029AT,20,-1.6,A,13.71666667,0,25
AETR,029AT,20,-1.6,A,18.28333333,0,25
AETR,029AT,20,-1.6,A,21.36666667,1,25
AETR,029AT,20,-1.6,A,28.38333333,2,25
AETR,029AT,20,-1.6,A,33.48333333,6,25
AETR,029AT,20,-1.6,A,37.25,2,25
AETR,029AT,20,-1.6,A,40.55,0,25
AETR,029AT,20,-1.6,A,46.88333333,0,25
AETR,029AT,20,-1.6,A,51.73333333,0,25
AETR,029AT,20,-1.6,A,57.38333333,1,25
AETR,029AT,20,-1.6,A,62.48333333,1,25
AETR,029AT,20,-1.6,A,75.93333333,2,25
AETR,029AT,20,-1.6,A,88.66666667,0,25
AETR,029AT,20,-1.6,A,100.6,3,25
AETR,029AT,20,-1.6,A,111.3333333,0,25
AETR,029AT,20,-1.6,A,125.7166667,1,25
AETR,029AT,20,-1.6,A,134.8666667,1,25
AETR,029AT,20,-1.6,A,150.7833333,2,25
AETR,029AT,20,-1.6,A,196.8166667,1,25
AETR,029AT,20,-1.6,B,6.966666667,1,25
AETR,029AT,20,-1.6,B,13.71666667,1,25
AETR,029AT,20,-1.6,B,18.28333333,1,25
AETR,029AT,20,-1.6,B,21.36666667,0,25
AETR,029AT,20,-1.6,B,28.38333333,0,25
AETR,029AT,20,-1.6,B,33.48333333,4,25
AETR,029AT,20,-1.6,B,37.25,1,25
AETR,029AT,20,-1.6,B,40.55,2,25
AETR,029AT,20,-1.6,B,46.88333333,0,25
AETR,029AT,20,-1.6,B,51.73333333,0,25
AETR,029AT,20,-1.6,B,57.38333333,4,25
AETR,029AT,20,-1.6,B,62.48333333,0,25
AETR,029AT,20,-1.6,B,75.93333333,0,25
AETR,029AT,20,-1.6,B,88.66666667,1,25
AETR,029AT,20,-1.6,B,100.6,3,25
AETR,029AT,20,-1.6,B,111.3333333,2,25
AETR,029AT,20,-1.6,B,125.7166667,1,25
AETR,029AT,20,-1.6,B,134.8666667,2,25
AETR,029AT,20,-1.6,C,6.966666667,0,25
AETR,029AT,20,-1.6,C,13.71666667,0,25
AETR,029AT,20,-1.6,C,18.28333333,0,25
AETR,029AT,20,-1.6,C,21.36666667,0,25
AETR,029AT,20,-1.6,C,28.38333333,5,25
AETR,029AT,20,-1.6,C,33.48333333,5,25
AETR,029AT,20,-1.6,C,37.25,4,25
AETR,029AT,20,-1.6,C,40.55,0,25
AETR,029AT,20,-1.6,C,46.88333333,0,25
AETR,029AT,20,-1.6,C,51.73333333,2,25
AETR,029AT,20,-1.6,C,57.38333333,1,25
AETR,029AT,20,-1.6,C,62.48333333,0,25
AETR,029AT,20,-1.6,C,75.93333333,0,25
AETR,029AT,20,-1.6,C,88.66666667,2,25
AETR,029AT,20,-1.6,C,100.6,1,25
AETR,029AT,20,-1.6,C,111.3333333,1,25
AETR,029AT,20,-1.6,C,125.7166667,1,25
AETR,029AT,20,-1.6,C,134.8666667,0,25
AETR,029AT,20,-1.6,C,150.7833333,1,25
AETR,029AT,20,-1.6,D,6.966666667,0,25
AETR,029AT,20,-1.6,D,13.71666667,0,25
AETR,029AT,20,-1.6,D,18.28333333,0,25
AETR,029AT,20,-1.6,D,21.36666667,0,25
AETR,029AT,20,-1.6,D,28.38333333,0,25
AETR,029AT,20,-1.6,D,33.48333333,5,25
AETR,029AT,20,-1.6,D,37.25,1,25
AETR,029AT,20,-1.6,D,40.55,2,25
AETR,029AT,20,-1.6,D,46.88333333,0,25
AETR,029AT,20,-1.6,D,51.73333333,4,25
AETR,029AT,20,-1.6,D,57.38333333,3,25
AETR,029AT,20,-1.6,D,62.48333333,0,25
AETR,029AT,20,-1.6,D,75.93333333,2,25
AETR,029AT,20,-1.6,D,88.66666667,2,25
