Species,Population,mpa,Dish,Hour,Germinated,Germinable
ValpAcid,177,1,2,1149,17,36
ValpAcid,177,1,2,1172,17,36
ValpAcid,177,1,2,1196,17,36
ValpAcid,177,1,2,1221,17,36
ValpAcid,177,1,2,1248,17,36
ValpAcid,177,1,2,1268,17,36
ValpAcid,177,1,2,1293,17,36
ValpAcid,177,1,2,1321,17,36
ValpAcid,177,1,2,1346,17,36
ValpAcid,177,1,2,1370,17,36
ValpAcid,177,1,2,1396,17,36
ValpAcid,177,1,2,1420,17,36
ValpAcid,177,1,2,1438,17,36
ValpAcid,177,1,2,1461,17,36
ValpAcid,177,1,2,1487,17,36
ValpAcid,177,1,2,1516,17,36
ValpAcid,177,1,2,1534,17,36
ValpAcid,177,1,2,1560,17,36
ValpAcid,177,1,2,1588,17,36
ValpAcid,177,1,2,1607,18,36
ValpAcid,177,1,2,1630,18,36
ValpAcid,177,1,2,1654,18,36
ValpAcid,177,1,2,1679,18,36
ValpAcid,177,1,2,1704,18,36
ValpAcid,177,1,2,1727,18,36
ValpAcid,177,1,2,1755,18,36
ValpAcid,177,1,2,1779,18,36
ValpAcid,177,1,2,1798,18,36
ValpAcid,177,1,2,1821,18,36
ValpAcid,177,1,2,1845,18,36
ValpAcid,177,1,2,1876,18,36
ValpAcid,177,1,2,1891,18,36
ValpAcid,177,1,2,1915,18,36
ValpAcid,177,1,2,1940,18,36
ValpAcid,177,1,2,1962,18,36
ValpAcid,177,1,2,1989,18,36
ValpAcid,177,1,2,2011,18,36
ValpAcid,177,1,2,2042,18,36
ValpAcid,177,1,2,2059,18,36
ValpAcid,177,1,2,2082,18,36
ValpAcid,177,1,2,2108,18,36
ValpAcid,177,1,2,2132,18,36
ValpAcid,177,1,2,2161,18,36
ValpAcid,177,1,2,2184,18,36
ValpAcid,177,1,2,2208,18,36
ValpAcid,177,1,2,2228,18,36
ValpAcid,177,1,2,2251,18,36
ValpAcid,177,1,2,2274,18,36
ValpAcid,177,1,2,2298,18,36
ValpAcid,177,1,2,2322,18,36
ValpAcid,177,1,2,2347,18,36
ValpAcid,177,1,2,2372,18,36
ValpAcid,177,1,2,2398,18,36
ValpAcid,177,1,2,2423,18,36
ValpAcid,177,1,2,2446,18,36
ValpAcid,177,1,2,2470,18,36
ValpAcid,177,1,2,2493,18,36
ValpAcid,177,1,2,2517,18,36
ValpAcid,177,1,2,2538,18,36
ValpAcid,177,1,2,2569,18,36
ValpAcid,177,1,2,2592,18,36
ValpAcid,177,1,2,2615,18,36
ValpAcid,177,1,2,2636,18,36
ValpAcid,177,1,2,2660,18,36
ValpAcid,177,1,2,2683,18,36
ValpAcid,177,1,2,2707,18,36
ValpAcid,177,1,2,2731,18,36
ValpAcid,177,1,2,2754,18,36
ValpAcid,177,1,2,2783,19,36
ValpAcid,177,1,2,2807,19,36
ValpAcid,177,1,2,2830,19,36
TSA,177,1,2,0,0,52
TSA,177,1,2,21,1,52
TSA,177,1,2,28,1,52
TSA,177,1,2,42,1,52
TSA,177,1,2,66,3,52
TSA,177,1,2,93,7,52
TSA,177,1,2,116,10,52
TSA,177,1,2,144,13,52
TSA,177,1,2,165,15,52
TSA,177,1,2,189,15,52
TSA,177,1,2,213,16,52
TSA,177,1,2,235,18,52
TSA,177,1,2,261,18,52
TSA,177,1,2,285,18,52
TSA,177,1,2,309,18,52
TSA,177,1,2,336,18,52
TSA,177,1,2,361,19,52
TSA,177,1,2,383,20,52
TSA,177,1,2,408,20,52
TSA,177,1,2,433,20,52
TSA,177,1,2,456,21,52
TSA,177,1,2,481,21,52
TSA,177,1,2,504,21,52
TSA,177,1,2,527,21,52
TSA,177,1,2,549,22,52
TSA,177,1,2,575,24,52
TSA,177,1,2,598,24,52
TSA,177,1,2,620,26,52
TSA,177,1,2,647,28,52
TSA,177,1,2,668,28,52
TSA,177,1,2,693,29,52
TSA,177,1,2,719,29,52
TSA,177,1,2,740,30,52
TSA,177,1,2,765,30,52
TSA,177,1,2,790,31,52
TSA,177,1,2,811,31,52
TSA,177,1,2,835,32,52
TSA,177,1,2,861,32,52
TSA,177,1,2,887,33,52
TSA,177,1,2,908,34,52
TSA,177,1,2,933,34,52
TSA,177,1,2,954,34,52
TSA,177,1,2,979,35,52
TSA,177,1,2,1009,35,52
TSA,177,1,2,1031,35,52
TSA,177,1,2,1053,35,52
TSA,177,1,2,1080,35,52
TSA,177,1,2,1099,35,52
TSA,177,1,2,1122,35,52
TSA,177,1,2,1149,35,52
TSA,177,1,2,1172,35,52
TSA,177,1,2,1196,35,52
TSA,177,1,2,1221,35,52
TSA,177,1,2,1248,35,52
TSA,177,1,2,1268,35,52
TSA,177,1,2,1293,35,52
TSA,177,1,2,1321,35,52
TSA,177,1,2,1346,35,52
TSA,177,1,2,1370,35,52
TSA,177,1,2,1396,35,52
TSA,177,1,2,1420,35,52
TSA,177,1,2,1438,35,52
TSA,177,1,2,1461,35,52
TSA,177,1,2,1487,35,52
TSA,177,1,2,1516,35,52
TSA,177,1,2,1534,36,52
TSA,177,1,2,1560,36,52
TSA,177,1,2,1588,36,52
TSA,177,1,2,1607,36,52
TSA,177,1,2,1630,36,52
TSA,177,1,2,1654,36,52
TSA,177,1,2,1679,36,52
TSA,177,1,2,1704,36,52
TSA,177,1,2,1727,36,52
TSA,177,1,2,1755,36,52
TSA,177,1,2,1779,36,52
TSA,177,1,2,1798,36,52
TSA,177,1,2,1821,36,52
TSA,177,1,2,1845,36,52
TSA,177,1,2,1876,36,52
TSA,177,1,2,1891,37,52
TSA,177,1,2,1915,37,52
TSA,177,1,2,1940,37,52
TSA,177,1,2,1962,37,52
TSA,177,1,2,1989,37,52
TSA,177,1,2,2011,37,52
TSA,177,1,2,2042,37,52
TSA,177,1,2,2059,38,52
TSA,177,1,2,2082,38,52
TSA,177,1,2,2108,38,52
TSA,177,1,2,2132,38,52
TSA,177,1,2,2161,38,52
TSA,177,1,2,2184,38,52
TSA,177,1,2,2208,39,52
TSA,177,1,2,2228,39,52
TSA,177,1,2,2251,39,52
TSA,177,1,2,2274,39,52
TSA,177,1,2,2298,39,52
TSA,177,1,2,2322,39,52
TSA,177,1,2,2347,39,52
TSA,177,1,2,2372,39,52
TSA,177,1,2,2398,39,52
TSA,177,1,2,2423,39,52
TSA,177,1,2,2446,39,52
TSA,177,1,2,2470,39,52
TSA,177,1,2,2493,39,52
TSA,177,1,2,2517,39,52
TSA,177,1,2,2538,39,52
TSA,177,1,2,2569,39,52
TSA,177,1,2,2592,39,52
TSA,177,1,2,2615,39,52
TSA,177,1,2,2636,39,52
TSA,177,1,2,2660,39,52
TSA,177,1,2,2683,39,52
TSA,177,1,2,2707,39,52
TSA,177,1,2,2731,39,52
TSA,177,1,2,2754,39,52
