Grouping	Treatment	Dish	Start	End	G	PG	
730	B	28.75	1	25	26	0	25
731	B	28.75	1	26	27	0	25
732	B	28.75	1	27	28	0	25
733	B	28.75	1	28	29	0	25
734	B	28.75	1	29	30	0	25
735	B	28.75	1	30	31	0	25
736	B	28.75	1	31	32	0	25
737	B	28.75	1	32	33	0	25
738	B	28.75	1	33	34	0	25
739	B	28.75	1	34	35	0	25
740	B	28.75	1	35	36	0	25
741	B	28.75	1	36	37	0	25
742	B	28.75	1	37	38	0	25
743	B	28.75	1	38	39	0	25
744	B	28.75	1	39	40	0	25
745	B	28.75	1	40	41	0	25
746	B	28.75	1	41	42	0	25
747	B	28.75	1	42	43	0	25
748	B	28.75	1	43	Inf	25	25
749	B	31.25	1	0	1	0	25
750	B	31.25	1	1	2	0	25
751	B	31.25	1	2	3	0	25
752	B	31.25	1	3	4	0	25
753	B	31.25	1	4	5	0	25
754	B	31.25	1	5	6	0	25
755	B	31.25	1	6	7	0	25
756	B	31.25	1	7	8	0	25
757	B	31.25	1	8	9	0	25
758	B	31.25	1	9	10	0	25
759	B	31.25	1	10	11	0	25
760	B	31.25	1	11	12	0	25
761	B	31.25	1	12	13	0	25
762	B	31.25	1	13	14	0	25
763	B	31.25	1	14	15	0	25
764	B	31.25	1	15	16	0	25
765	B	31.25	1	16	17	0	25
766	B	31.25	1	17	18	0	25
767	B	31.25	1	18	19	0	25
768	B	31.25	1	19	20	0	25
769	B	31.25	1	20	21	0	25
770	B	31.25	1	21	22	0	25
