species,population,temperature,dish,times,germinated,germinable
Centaurium somedanum,La Malva,18.6,A2,14,0,24
Centaurium somedanum,La Malva,18.6,A2,15,0,24
Centaurium somedanum,La Malva,18.6,A2,16,0,24
Centaurium somedanum,La Malva,18.6,A2,17,0,24
Centaurium somedanum,La Malva,18.6,A2,18,0,24
Centaurium somedanum,La Malva,18.6,A2,19,0,24
Centaurium somedanum,La Malva,18.6,A2,20,0,24
Centaurium somedanum,La Malva,18.6,A2,21,0,24
Centaurium somedanum,La Malva,18.6,A2,22,0,24
Centaurium somedanum,La Malva,18.6,A2,23,0,24
Centaurium somedanum,La Malva,18.6,A2,24,0,24
Centaurium somedanum,La Malva,18.6,A2,25,0,24
Centaurium somedanum,La Malva,18.6,A2,26,0,24
Centaurium somedanum,La Malva,18.6,A2,27,0,24
Centaurium somedanum,La Malva,18.6,A2,28,0,24
Centaurium somedanum,La Malva,17.2,A3,1,0,25
Centaurium somedanum,La Malva,17.2,A3,2,0,25
Centaurium somedanum,La Malva,17.2,A3,3,0,25
Centaurium somedanum,La Malva,17.2,A3,4,0,25
Centaurium somedanum,La Malva,17.2,A3,5,0,25
Centaurium somedanum,La Malva,17.2,A3,6,0,25
Centaurium somedanum,La Malva,17.2,A3,7,7,25
Centaurium somedanum,La Malva,17.2,A3,8,16,25
Centaurium somedanum,La Malva,17.2,A3,9,1,25
Centaurium somedanum,La Malva,17.2,A3,10,0,25
Centaurium somedanum,La Malva,17.2,A3,11,0,25
Centaurium somedanum,La Malva,17.2,A3,12,0,25
Centaurium somedanum,La Malva,17.2,A3,13,0,25
Centaurium somedanum,La Malva,17.2,A3,14,0,25
Centaurium somedanum,La Malva,17.2,A3,15,0,25
Centaurium somedanum,La Malva,17.2,A3,16,0,25
Centaurium somedanum,La Malva,17.2,A3,17,0,25
Centaurium somedanum,La Malva,17.2,A3,18,0,25
Centaurium somedanum,La Malva,17.2,A3,19,0,25
Centaurium somedanum,La Malva,17.2,A3,20,0,25
Centaurium somedanum,La Malva,17.2,A3,21,0,25
Centaurium somedanum,La Malva,17.2,A3,22,0,25
Centaurium somedanum,La Malva,17.2,A3,23,0,25
Centaurium somedanum,La Malva,17.2,A3,24,0,25
Centaurium somedanum,La Malva,17.2,A3,25,0,25
Centaurium somedanum,La Malva,17.2,A3,26,0,25
Centaurium somedanum,La Malva,17.2,A3,27,0,25
Centaurium somedanum,La Malva,17.2,A3,28,0,25
Centaurium somedanum,La Malva,15.8,A4,1,0,25
Centaurium somedanum,La Malva,15.8,A4,2,0,25
Centaurium somedanum,La Malva,15.8,A4,3,0,25
Centaurium somedanum,La Malva,15.8,A4,4,0,25
Centaurium somedanum,La Malva,15.8,A4,5,0,25
Centaurium somedanum,La Malva,15.8,A4,6,0,25
Centaurium somedanum,La Malva,15.8,A4,7,1,25
Centaurium somedanum,La Malva,15.8,A4,8,13,25
Centaurium somedanum,La Malva,15.8,A4,9,4,25
Centaurium somedanum,La Malva,15.8,A4,10,3,25
Centaurium somedanum,La Malva,15.8,A4,11,2,25
Centaurium somedanum,La Malva,15.8,A4,12,0,25
Centaurium somedanum,La Malva,15.8,A4,13,1,25
Centaurium somedanum,La Malva,15.8,A4,14,1,25
Centaurium somedanum,La Malva,15.8,A4,15,0,25
Centaurium somedanum,La Malva,15.8,A4,16,0,25
Centaurium somedanum,La Malva,15.8,A4,17,0,25
Centaurium somedanum,La Malva,15.8,A4,18,0,25
Centaurium somedanum,La Malva,15.8,A4,19,0,25
Centaurium somedanum,La Malva,15.8,A4,20,0,25
Centaurium somedanum,La Malva,15.8,A4,21,0,25
Centaurium somedanum,La Malva,15.8,A4,22,0,25
Centaurium somedanum,La Malva,15.8,A4,23,0,25
Centaurium somedanum,La Malva,15.8,A4,24,0,25
Centaurium somedanum,La Malva,15.8,A4,25,0,25
Centaurium somedanum,La Malva,15.8,A4,26,0,25
Centaurium somedanum,La Malva,15.8,A4,27,0,25
Centaurium somedanum,La Malva,15.8,A4,28,0,25
Centaurium somedanum,Malconcecho,20,A40,1,0,23
Centaurium somedanum,Malconcecho,20,A40,2,0,23
Centaurium somedanum,Malconcecho,20,A40,3,0,23
Centaurium somedanum,Malconcecho,20,A40,4,0,23
Centaurium somedanum,Malconcecho,20,A40,5,0,23
Centaurium somedanum,Malconcecho,20,A40,6,3,23
Centaurium somedanum,Malconcecho,20,A40,7,6,23
Centaurium somedanum,Malconcecho,20,A40,8,2,23
Centaurium somedanum,Malconcecho,20,A40,9,0,23
Centaurium somedanum,Malconcecho,20,A40,10,0,23
Centaurium somedanum,Malconcecho,20,A40,11,2,23
Centaurium somedanum,Malconcecho,20,A40,12,1,23
Centaurium somedanum,Malconcecho,20,A40,13,1,23
Centaurium somedanum,Malconcecho,20,A40,14,0,23
Centaurium somedanum,Malconcecho,20,A40,15,1,23
Centaurium somedanum,Malconcecho,20,A40,16,1,23
Centaurium somedanum,Malconcecho,20,A40,17,1,23
Centaurium somedanum,Malconcecho,20,A40,18,2,23
Centaurium somedanum,Malconcecho,20,A40,19,0,23
Centaurium somedanum,Malconcecho,20,A40,20,0,23
Centaurium somedanum,Malconcecho,20,A40,21,0,23
Centaurium somedanum,Malconcecho,20,A40,22,1,23
Centaurium somedanum,Malconcecho,20,A40,23,0,23
Centaurium somedanum,Malconcecho,20,A40,24,0,23
Centaurium somedanum,Malconcecho,20,A40,25,0,23
Centaurium somedanum,Malconcecho,20,A40,26,1,23
Centaurium somedanum,Malconcecho,20,A40,27,0,23
Centaurium somedanum,Malconcecho,20,A40,28,0,23
Centaurium somedanum,Malconcecho,18.6,A41,1,0,25
Centaurium somedanum,Malconcecho,18.6,A41,2,0,25
Centaurium somedanum,Malconcecho,18.6,A41,3,0,25
Centaurium somedanum,Malconcecho,18.6,A41,4,0,25
Centaurium somedanum,Malconcecho,18.6,A41,5,0,25
Centaurium somedanum,Malconcecho,18.6,A41,6,1,25
Centaurium somedanum,Malconcecho,18.6,A41,7,13,25
Centaurium somedanum,Malconcecho,18.6,A41,8,2,25
Centaurium somedanum,Malconcecho,18.6,A41,9,0,25
Centaurium somedanum,Malconcecho,18.6,A41,10,1,25
Centaurium somedanum,Malconcecho,18.6,A41,11,1,25
Centaurium somedanum,Malconcecho,18.6,A41,12,0,25
Centaurium somedanum,Malconcecho,18.6,A41,13,3,25
Centaurium somedanum,Malconcecho,18.6,A41,14,0,25
Centaurium somedanum,Malconcecho,18.6,A41,15,0,25
Centaurium somedanum,Malconcecho,18.6,A41,16,0,25
Centaurium somedanum,Malconcecho,18.6,A41,17,1,25
Centaurium somedanum,Malconcecho,18.6,A41,18,0,25
Centaurium somedanum,Malconcecho,18.6,A41,19,0,25
Centaurium somedanum,Malconcecho,18.6,A41,20,1,25
Centaurium somedanum,Malconcecho,18.6,A41,21,1,25
Centaurium somedanum,Malconcecho,18.6,A41,22,0,25
Centaurium somedanum,Malconcecho,18.6,A41,23,0,25
Centaurium somedanum,Malconcecho,18.6,A41,24,0,25
Centaurium somedanum,Malconcecho,18.6,A41,25,0,25
Centaurium somedanum,Malconcecho,18.6,A41,26,0,25
Centaurium somedanum,Malconcecho,18.6,A41,27,1,25
Centaurium somedanum,Malconcecho,18.6,A41,28,0,25
Centaurium somedanum,Malconcecho,17.2,A42,1,0,25
Centaurium somedanum,Malconcecho,17.2,A42,2,0,25
Centaurium somedanum,Malconcecho,17.2,A42,3,0,25
Centaurium somedanum,Malconcecho,17.2,A42,4,0,25
Centaurium somedanum,Malconcecho,17.2,A42,5,0,25
Centaurium somedanum,Malconcecho,17.2,A42,6,0,25
Centaurium somedanum,Malconcecho,17.2,A42,7,12,25
Centaurium somedanum,Malconcecho,17.2,A42,8,0,25
Centaurium somedanum,Malconcecho,17.2,A42,9,4,25
Centaurium somedanum,Malconcecho,17.2,A42,10,5,25
Centaurium somedanum,Malconcecho,17.2,A42,11,0,25
